device_id,site_id,user_id,device_type,model,firmware,registration_status,provisioning_status,last_registered
DEV00653,SITE022,USER01413,Cisco 8865,Room Kit,14.4,None,Provisioned,2026-08-10
DEV00654,SITE021,USER00413,Cisco 8851,8841,14.4,Registered,Provisioned,2026-06-22
DEV00655,SITE033,USER02314,Webex App,8841,15.1,None,Provisioned,2025-11-13
DEV00656,SITE027,USER00555,Cisco 8841,8865,14.3,Registered,Provisioned,2026-01-19
DEV00657,SITE012,USER00520,Cisco 8851,8865,15.1,Unregistered,Pending,2026-05-24
DEV00658,SITE018,USER00613,Cisco 8851,Webex App,15.1,None,Provisioned,2025-12-10
DEV00659,SITE028,USER01565,Webex App,8841,14.4,Registered,Provisioned,2026-01-01
DEV00660,SITE017,USER01094,Cisco 8841,8841,15.1,Registered,Provisioned,2026-06-20
DEV00661,SITE030,USER02072,Webex App,Webex App,14.4,Unregistered,Provisioned,2026-02-07
DEV00662,SITE034,USER01612,Room Kit,Webex App,15.0,None,Provisioned,2025-12-18
DEV00663,SITE005,USER02265,Cisco 8865,Room Kit,15.1,None,Provisioned,2026-03-12
DEV00664,SITE009,USER00742,Cisco 8851,8851,14.2,Unregistered,Provisioned,2026-01-13
DEV00665,SITE011,USER01384,Cisco 8865,8865,14.3,Unregistered,Pending,2026-01-28
DEV00666,SITE032,USER01463,Webex App,8841,14.2,Registered,Provisioned,2026-02-26
DEV00667,SITE023,USER00007,Room Kit,8865,14.3,Registered,Provisioned,2025-12-28
DEV00668,SITE015,USER01199,Webex App,8851,15.1,Registered,Provisioned,2026-01-14
DEV00669,SITE024,USER01690,Cisco 8865,8841,14.4,None,Provisioned,2026-03-12
DEV00670,SITE013,USER00371,Cisco 8865,Webex App,14.3,Registered,Provisioned,2026-07-16
DEV00671,SITE007,USER02145,Cisco 8841,Room Kit,14.3,Unregistered,Provisioned,2025-11-07
DEV00672,SITE011,USER01103,Room Kit,8865,14.4,Registered,Provisioned,2026-06-02
DEV00673,SITE005,USER01350,Cisco 8841,8865,14.4,Registered,Provisioned,2026-02-20
DEV00674,SITE009,USER00054,Room Kit,8865,14.2,Registered,Provisioned,2026-01-13
DEV00675,SITE020,USER01151,Room Kit,Room Kit,14.4,Registered,Provisioned,2026-01-26
DEV00676,SITE026,USER02155,Webex App,Webex App,14.2,Registered,Failed,2026-07-18
DEV00677,SITE007,USER02256,Room Kit,8841,14.3,Registered,Provisioned,2026-05-26
DEV00678,SITE008,USER02099,Webex App,8851,15.1,Registered,Provisioned,2025-12-12
DEV00679,SITE017,USER01782,Cisco 8865,8865,14.2,Registered,Provisioned,2026-08-01
DEV00680,SITE001,USER00384,Cisco 8865,Room Kit,14.4,Registered,Provisioned,2026-06-22
DEV00681,SITE013,USER00191,Cisco 8865,8851,14.2,Registered,Provisioned,2026-04-02
DEV00682,SITE006,USER00033,Webex App,Room Kit,15.1,None,Provisioned,2026-03-26
DEV00683,SITE010,USER00459,Cisco 8841,Webex App,14.2,Registered,Provisioned,2026-02-20
DEV00684,SITE026,USER00826,Cisco 8841,8851,14.4,None,Provisioned,2026-02-25
DEV00685,SITE011,USER02117,Room Kit,8841,14.2,Registered,Provisioned,2026-01-27
DEV00686,SITE029,USER01531,Room Kit,Webex App,14.2,Registered,Provisioned,2026-07-05
DEV00687,SITE009,USER02318,Webex App,Room Kit,14.3,Registered,Provisioned,2026-05-02
DEV00688,SITE027,USER02433,Webex App,8851,14.4,Unregistered,Provisioned,2025-12-19
DEV00689,SITE023,USER00235,Room Kit,8865,14.4,None,Provisioned,2026-05-02
DEV00690,SITE015,USER00399,Cisco 8865,Room Kit,15.1,Unregistered,Pending,2026-07-31
DEV00691,SITE003,USER01595,Webex App,8851,15.0,Registered,Provisioned,2025-12-07
DEV00692,SITE001,USER01873,Cisco 8851,8851,14.2,Registered,Provisioned,2025-12-30
DEV00693,SITE031,USER00474,Webex App,Webex App,14.3,Registered,Failed,2025-11-13
DEV00694,SITE013,USER01648,Cisco 8841,Room Kit,15.0,Registered,Provisioned,2026-03-08
DEV00695,SITE029,USER01612,Cisco 8851,8851,14.2,Unregistered,Provisioned,2026-02-17
DEV00696,SITE024,USER00892,Room Kit,Room Kit,15.1,Registered,Provisioned,2026-05-17
DEV00697,SITE004,USER01496,Cisco 8851,8865,14.4,Registered,Failed,2026-02-07
DEV00698,SITE009,USER02378,Cisco 8865,Webex App,15.0,None,Provisioned,2026-02-04
DEV00699,SITE032,USER01716,Room Kit,8865,14.4,Registered,Provisioned,2026-07-23
DEV00700,SITE034,USER00126,Cisco 8841,8851,14.2,Registered,Provisioned,2026-01-14
DEV00701,SITE033,USER00820,Room Kit,Room Kit,14.2,Unregistered,Provisioned,2026-06-02
DEV00702,SITE016,USER00840,Cisco 8851,8841,14.2,Registered,Provisioned,2026-06-30
DEV00703,SITE023,USER00790,Cisco 8865,8851,14.2,None,Provisioned,2026-06-08
DEV00704,SITE016,USER01861,Room Kit,8865,15.0,Registered,Provisioned,2026-06-09
DEV00705,SITE027,USER00027,Room Kit,8851,15.0,None,Provisioned,2026-03-05
DEV00706,SITE003,USER01752,Cisco 8851,Room Kit,14.2,Registered,Provisioned,2026-07-26
DEV00707,SITE010,USER01236,Webex App,8865,15.0,None,Provisioned,2026-02-16
DEV00708,SITE014,USER00324,Cisco 8841,8841,14.4,Registered,Provisioned,2026-05-05
DEV00709,SITE028,USER01360,Cisco 8851,Webex App,14.2,Registered,Provisioned,2026-07-18
DEV00710,SITE006,USER01748,Room Kit,8851,14.4,Registered,Provisioned,2025-12-30
DEV00711,SITE003,USER01115,Room Kit,8851,15.1,Unregistered,Provisioned,2026-07-30
DEV00712,SITE006,USER00109,Cisco 8841,8865,14.3,Unregistered,Provisioned,2026-03-08
DEV00713,SITE001,USER01192,Cisco 8865,8841,14.2,Registered,Provisioned,2026-01-18
DEV00714,SITE027,USER00483,Cisco 8841,8865,14.3,Registered,Provisioned,2026-01-16
DEV00715,SITE035,USER01924,Cisco 8841,Webex App,14.3,Unregistered,Provisioned,2025-12-14
DEV00716,SITE015,USER01450,Cisco 8851,Room Kit,14.4,Registered,Provisioned,2026-05-15
DEV00717,SITE024,USER01638,Webex App,Webex App,15.1,Unregistered,Provisioned,2025-11-07
DEV00718,SITE001,USER01518,Cisco 8851,8841,14.3,Registered,Provisioned,2026-04-10
DEV00719,SITE001,USER00504,Webex App,8841,14.3,Registered,Provisioned,2026-06-26
DEV00720,SITE028,USER02470,Room Kit,8865,14.2,Registered,Provisioned,2025-11-02
DEV00721,SITE009,USER00859,Room Kit,Room Kit,14.2,Registered,Provisioned,2025-11-23
DEV00722,SITE026,USER01492,Room Kit,8851,14.4,Unregistered,Provisioned,2026-06-03
DEV00723,SITE029,USER00217,Room Kit,8851,14.4,Registered,Provisioned,2026-07-12
DEV00724,SITE011,USER02294,Webex App,8865,15.1,Unregistered,Provisioned,2025-12-20
DEV00725,SITE028,USER01377,Cisco 8851,8851,14.2,Registered,Provisioned,2026-03-18
DEV00726,SITE025,USER00350,Cisco 8851,8865,14.4,Registered,Provisioned,2026-06-05
DEV00727,SITE028,USER00279,Cisco 8865,Webex App,15.0,Registered,Provisioned,2025-11-22
DEV00728,SITE010,USER00730,Room Kit,8851,15.0,None,Provisioned,2026-03-18
DEV00729,SITE008,USER01052,Cisco 8865,8865,15.0,None,Provisioned,2026-03-12
DEV00730,SITE003,USER01904,Cisco 8865,8851,14.4,Registered,Provisioned,2026-02-15
DEV00731,SITE010,USER00449,Cisco 8851,8841,15.0,Unregistered,Provisioned,2025-12-17
DEV00732,SITE025,USER01600,Webex App,8865,15.0,Registered,Provisioned,2026-06-24
DEV00733,SITE014,USER02434,Webex App,8841,14.4,Registered,Failed,2025-11-12
DEV00734,SITE004,USER01441,Room Kit,8851,14.2,Registered,Provisioned,2025-11-23
DEV00735,SITE015,USER01000,Webex App,Webex App,15.0,Registered,Provisioned,2026-03-18
DEV00736,SITE013,USER02171,Webex App,Room Kit,14.3,Unregistered,Provisioned,2026-02-04
DEV00737,SITE030,USER00747,Cisco 8851,8841,14.4,Registered,Provisioned,2026-07-03
DEV00738,SITE029,USER00609,Cisco 8841,Room Kit,14.3,Registered,Provisioned,2026-07-27
DEV00739,SITE034,USER00966,Cisco 8851,Room Kit,14.2,Registered,Provisioned,2026-05-06
DEV00740,SITE011,USER00559,Webex App,8865,14.4,Registered,Provisioned,2026-04-19
DEV00741,SITE027,USER01759,Room Kit,8865,14.2,Registered,Pending,2025-12-13
DEV00742,SITE013,USER00977,Cisco 8851,Webex App,14.2,Registered,Provisioned,2026-03-06
DEV00743,SITE001,USER01758,Room Kit,8865,14.3,None,Pending,2026-07-02
DEV00744,SITE005,USER01623,Cisco 8841,Room Kit,14.4,Registered,Provisioned,2026-04-02
DEV00745,SITE020,USER01818,Webex App,8865,15.1,Registered,Provisioned,2025-11-26
DEV00746,SITE006,USER02063,Room Kit,Room Kit,15.0,Registered,Pending,2026-07-26
DEV00747,SITE030,USER02238,Cisco 8841,8841,15.1,None,Pending,2026-05-07
DEV00748,SITE027,USER01086,Cisco 8851,Webex App,14.4,Registered,Failed,2026-07-12
DEV00749,SITE033,USER00792,Cisco 8851,8865,14.3,None,Failed,2025-11-08
DEV00750,SITE021,USER02084,Webex App,8865,14.2,None,Provisioned,2026-07-31
DEV00751,SITE008,USER01553,Cisco 8865,Webex App,15.1,Registered,Provisioned,2026-01-08
DEV00752,SITE031,USER01215,Cisco 8865,8865,15.1,Registered,Provisioned,2026-05-09
DEV00753,SITE002,USER01354,Room Kit,8865,14.3,None,Provisioned,2026-05-28
DEV00754,SITE004,USER02064,Cisco 8851,8841,14.3,Registered,Provisioned,2026-06-26
DEV00755,SITE018,USER01820,Cisco 8851,8865,15.0,None,Pending,2026-07-25
DEV00756,SITE021,USER01396,Cisco 8841,8851,15.1,None,Failed,2026-04-03
DEV00757,SITE016,USER01682,Cisco 8865,8851,15.1,Registered,Provisioned,2026-08-31
DEV00758,SITE032,USER01973,Webex App,8851,14.2,Unregistered,Provisioned,2026-02-22
DEV00759,SITE026,USER01307,Cisco 8865,8851,14.4,Unregistered,Provisioned,2025-12-15
DEV00760,SITE009,USER01900,Room Kit,8851,15.1,None,Provisioned,2026-03-03
DEV00761,SITE017,USER01856,Webex App,8851,14.2,Registered,Provisioned,2025-11-16
DEV00762,SITE023,USER01134,Room Kit,8865,14.4,Registered,Provisioned,2025-12-15
DEV00763,SITE004,USER00278,Cisco 8865,Webex App,14.4,Registered,Failed,2026-05-31
DEV00764,SITE021,USER01764,Room Kit,8841,14.4,Unregistered,Provisioned,2026-08-02
DEV00765,SITE028,USER01738,Cisco 8851,8851,14.4,Registered,Failed,2026-08-19
DEV00766,SITE026,USER01535,Cisco 8865,Webex App,15.1,Registered,Provisioned,2026-03-21
DEV00767,SITE018,USER01582,Webex App,8841,14.4,Registered,Provisioned,2026-08-11
DEV00768,SITE019,USER00991,Cisco 8851,Webex App,14.4,Registered,Provisioned,2025-11-18
DEV00769,SITE029,USER00960,Cisco 8841,8841,14.3,Registered,Failed,2026-06-26
DEV00770,SITE021,USER01773,Cisco 8841,Room Kit,14.2,Registered,Provisioned,2026-06-24
DEV00771,SITE032,USER02091,Cisco 8865,Room Kit,15.1,Registered,Provisioned,2025-11-09
DEV00772,SITE030,USER01422,Cisco 8841,8841,14.4,Registered,Pending,2026-07-24
DEV00773,SITE034,USER01233,Cisco 8865,Room Kit,14.4,Registered,Provisioned,2026-07-26
DEV00774,SITE032,USER01774,Cisco 8865,Room Kit,14.3,Registered,Failed,2026-03-13
DEV00775,SITE011,USER00591,Cisco 8851,Webex App,15.0,Unregistered,Provisioned,2026-02-03
DEV00776,SITE023,USER01957,Room Kit,Room Kit,15.0,Registered,Provisioned,2026-02-03
DEV00777,SITE001,USER01258,Room Kit,Room Kit,14.2,Registered,Provisioned,2026-08-20
DEV00778,SITE027,USER01006,Webex App,8841,15.1,None,Provisioned,2025-12-23
DEV00779,SITE026,USER00356,Cisco 8841,8851,14.2,Registered,Provisioned,2026-01-03
DEV00780,SITE034,USER00818,Room Kit,Room Kit,14.4,Unregistered,Provisioned,2026-06-07
DEV00781,SITE014,USER01140,Cisco 8841,Room Kit,15.1,Registered,Provisioned,2026-07-29
DEV00782,SITE020,USER02056,Cisco 8865,8841,14.4,Registered,Provisioned,2025-11-18
DEV00783,SITE023,USER00938,Cisco 8851,8865,15.0,None,Provisioned,2025-11-12
DEV00784,SITE027,USER00904,Cisco 8841,Room Kit,14.4,Registered,Provisioned,2026-02-02
DEV00785,SITE033,USER01942,Cisco 8841,8841,15.0,Registered,Provisioned,2026-05-06
DEV00786,SITE030,USER01887,Cisco 8841,8865,15.0,Registered,Provisioned,2026-05-01
DEV00787,SITE005,USER01824,Cisco 8841,Webex App,14.3,Registered,Provisioned,2025-11-18
DEV00788,SITE003,USER00890,Room Kit,8865,15.1,Registered,Pending,2026-04-24
DEV00789,SITE029,USER01905,Webex App,8865,14.3,Registered,Pending,2026-04-09
DEV00790,SITE009,USER01344,Cisco 8865,Webex App,14.3,Registered,Provisioned,2026-02-02
DEV00791,SITE021,USER00047,Webex App,8841,14.4,Registered,Provisioned,2025-11-07
DEV00792,SITE002,USER00852,Cisco 8851,8851,14.4,Registered,Pending,2026-02-09
DEV00793,SITE007,USER00031,Cisco 8841,Room Kit,15.0,Registered,Failed,2026-08-04
DEV00794,SITE004,USER01077,Webex App,8865,14.4,Registered,Provisioned,2025-11-01
DEV00795,SITE035,USER01978,Cisco 8851,8865,14.2,Unregistered,Provisioned,2026-03-19
DEV00796,SITE023,USER02392,Webex App,8851,14.3,Registered,Failed,2025-11-29
DEV00797,SITE017,USER01716,Room Kit,8841,15.1,Registered,Provisioned,2025-11-11
DEV00798,SITE002,USER00254,Room Kit,Room Kit,14.4,Unregistered,Provisioned,2026-08-31
DEV00799,SITE006,USER00953,Room Kit,Room Kit,14.3,None,Provisioned,2026-05-20
DEV00800,SITE029,USER00846,Room Kit,Webex App,14.3,Registered,Provisioned,2026-02-23
DEV00801,SITE010,USER01425,Cisco 8865,Room Kit,14.3,Registered,Provisioned,2026-08-05
DEV00802,SITE017,USER00694,Room Kit,Room Kit,14.2,Registered,Provisioned,2026-08-02
DEV00803,SITE013,USER00921,Cisco 8851,Room Kit,14.4,Registered,Provisioned,2025-11-11
DEV00804,SITE014,USER02464,Webex App,8865,14.3,None,Provisioned,2026-07-20
DEV00805,SITE015,USER01484,Webex App,Webex App,14.2,None,Provisioned,2025-11-25
DEV00806,SITE022,USER00894,Webex App,Room Kit,15.1,Registered,Provisioned,2026-03-09
DEV00807,SITE019,USER01642,Room Kit,Room Kit,14.2,Registered,Provisioned,2026-04-18
DEV00808,SITE020,USER00588,Webex App,8851,14.4,Unregistered,Provisioned,2026-03-12
DEV00809,SITE024,USER00689,Cisco 8851,Webex App,14.2,Registered,Provisioned,2026-03-04
DEV00810,SITE020,USER00231,Cisco 8865,8841,14.4,Registered,Provisioned,2026-05-11
DEV00811,SITE016,USER00168,Webex App,8841,14.3,Unregistered,Provisioned,2025-11-11
DEV00812,SITE006,USER00436,Webex App,Room Kit,14.4,Registered,Provisioned,2026-01-22
DEV00813,SITE027,USER01159,Webex App,Webex App,14.2,None,Provisioned,2025-11-15
DEV00814,SITE034,USER02112,Cisco 8841,8851,15.1,Unregistered,Provisioned,2026-06-12
DEV00815,SITE010,USER01556,Webex App,Webex App,15.0,Unregistered,Provisioned,2026-05-17
DEV00816,SITE027,USER00675,Cisco 8841,8865,15.1,Unregistered,Provisioned,2026-03-04
DEV00817,SITE022,USER01772,Cisco 8865,8865,14.2,Registered,Provisioned,2026-01-14
DEV00818,SITE009,USER00006,Cisco 8851,8841,15.0,Registered,Provisioned,2026-05-20
DEV00819,SITE005,USER00043,Webex App,8865,14.2,Registered,Provisioned,2026-06-17
DEV00820,SITE008,USER00342,Room Kit,8851,14.3,Registered,Provisioned,2026-08-17
DEV00821,SITE016,USER00875,Cisco 8841,Room Kit,14.4,Registered,Provisioned,2025-11-20
DEV00822,SITE005,USER00288,Cisco 8851,Webex App,14.2,Registered,Failed,2025-12-17
DEV00823,SITE026,USER02081,Cisco 8865,8851,14.3,Registered,Provisioned,2026-06-10
DEV00824,SITE018,USER01142,Cisco 8865,8851,14.2,Registered,Provisioned,2025-11-21
DEV00825,SITE029,USER02001,Cisco 8851,8841,14.2,Registered,Provisioned,2026-06-18
DEV00826,SITE029,USER01443,Cisco 8851,Room Kit,14.3,Unregistered,Failed,2026-03-27
DEV00827,SITE021,USER01382,Cisco 8865,8865,14.4,Registered,Provisioned,2026-02-28
DEV00828,SITE013,USER01844,Cisco 8865,Room Kit,14.3,Unregistered,Provisioned,2026-07-06
DEV00829,SITE015,USER00677,Room Kit,8841,14.3,Unregistered,Provisioned,2026-08-04
DEV00830,SITE011,USER01985,Cisco 8865,Webex App,14.4,None,Pending,2026-02-19
DEV00831,SITE009,USER01578,Webex App,8851,14.2,Registered,Failed,2026-05-01
DEV00832,SITE001,USER02316,Cisco 8841,8865,14.3,Registered,Provisioned,2025-11-20
DEV00833,SITE006,USER00446,Cisco 8865,8851,14.3,Registered,Provisioned,2026-05-11
DEV00834,SITE030,USER00303,Cisco 8851,Room Kit,14.2,Registered,Provisioned,2026-02-16
DEV00835,SITE029,USER01696,Cisco 8851,8851,14.4,Unregistered,Provisioned,2026-07-27
DEV00836,SITE017,USER02194,Cisco 8851,8865,14.2,None,Provisioned,2026-01-21
DEV00837,SITE013,USER00059,Cisco 8841,8851,15.0,Registered,Provisioned,2026-07-10
DEV00838,SITE034,USER01655,Cisco 8851,Room Kit,14.2,Registered,Failed,2026-02-16
DEV00839,SITE031,USER01591,Cisco 8851,Webex App,15.1,Registered,Provisioned,2026-08-26
DEV00840,SITE002,USER02288,Cisco 8851,8841,14.3,Registered,Failed,2026-03-27
DEV00841,SITE017,USER00450,Cisco 8865,8851,15.1,Registered,Failed,2026-01-23
DEV00842,SITE013,USER01899,Cisco 8851,Webex App,15.1,Registered,Provisioned,2025-12-24
DEV00843,SITE020,USER02255,Webex App,8865,14.3,Registered,Failed,2026-07-18
DEV00844,SITE013,USER01401,Cisco 8841,Webex App,14.2,Unregistered,Provisioned,2026-05-28
DEV00845,SITE024,USER00302,Room Kit,Webex App,15.1,Registered,Provisioned,2026-04-04
DEV00846,SITE035,USER01463,Webex App,Room Kit,14.4,Registered,Pending,2026-06-19
DEV00847,SITE013,USER00512,Cisco 8851,Webex App,14.4,None,Provisioned,2026-08-21
DEV00848,SITE018,USER01234,Room Kit,Room Kit,14.3,Registered,Failed,2025-11-09
DEV00849,SITE019,USER01586,Room Kit,Room Kit,14.2,Registered,Provisioned,2025-12-31
DEV00850,SITE027,USER01445,Cisco 8865,8841,15.1,Unregistered,Failed,2025-11-18
DEV00851,SITE006,USER01840,Cisco 8841,Room Kit,14.3,Registered,Provisioned,2026-04-21
DEV00852,SITE012,USER01192,Cisco 8841,Room Kit,14.4,Registered,Pending,2026-03-17
DEV00853,SITE013,USER01502,Room Kit,Webex App,14.4,Registered,Provisioned,2025-12-03
DEV00854,SITE023,USER02353,Room Kit,8841,14.3,Registered,Provisioned,2026-04-04
DEV00855,SITE017,USER00430,Room Kit,Webex App,14.2,Unregistered,Provisioned,2026-08-24
DEV00856,SITE013,USER00893,Cisco 8851,Webex App,14.2,Registered,Provisioned,2026-05-04
DEV00857,SITE027,USER02360,Cisco 8841,8865,15.1,None,Provisioned,2026-05-24
DEV00858,SITE019,USER01753,Room Kit,8841,14.3,Registered,Failed,2026-02-21
DEV00859,SITE002,USER01537,Cisco 8851,Room Kit,15.1,Registered,Provisioned,2026-02-25
DEV00860,SITE002,USER01059,Cisco 8841,8851,15.1,Registered,Provisioned,2026-06-08
DEV00861,SITE013,USER00703,Cisco 8841,8851,15.0,None,Provisioned,2026-01-11
DEV00862,SITE009,USER00875,Room Kit,8851,14.3,Registered,Provisioned,2026-02-05
DEV00863,SITE007,USER00181,Cisco 8851,Room Kit,15.0,Registered,Provisioned,2026-07-22
DEV00864,SITE025,USER01787,Cisco 8851,8851,14.2,Registered,Pending,2025-11-04
DEV00865,SITE013,USER00258,Cisco 8851,8851,14.4,Registered,Provisioned,2026-03-23
DEV00866,SITE012,USER01977,Cisco 8851,Room Kit,15.1,Registered,Failed,2025-12-23
DEV00867,SITE014,USER02409,Room Kit,Webex App,15.0,Registered,Provisioned,2026-04-02
DEV00868,SITE018,USER00043,Cisco 8865,Webex App,14.3,Unregistered,Provisioned,2026-04-12
DEV00869,SITE034,USER01541,Webex App,Webex App,14.2,Registered,Failed,2026-06-17
DEV00870,SITE023,USER01667,Cisco 8851,8841,14.4,Registered,Pending,2026-02-10
DEV00871,SITE009,USER00915,Cisco 8865,8851,14.2,Registered,Provisioned,2026-06-25
DEV00872,SITE001,USER01697,Cisco 8841,Webex App,15.1,None,Provisioned,2026-04-15
DEV00873,SITE012,USER01321,Cisco 8851,8865,14.4,Unregistered,Pending,2026-03-31
DEV00874,SITE008,USER00628,Cisco 8865,8841,15.1,Registered,Provisioned,2026-06-10
DEV00875,SITE015,USER02074,Cisco 8851,8841,14.3,Unregistered,Provisioned,2026-08-28
DEV00876,SITE030,USER02297,Cisco 8865,Webex App,14.3,None,Provisioned,2026-01-20
DEV00877,SITE024,USER01868,Cisco 8851,8851,15.0,None,Failed,2026-05-27
DEV00878,SITE001,USER01714,Cisco 8841,8865,14.4,Registered,Provisioned,2025-12-03
DEV00879,SITE035,USER01673,Cisco 8841,Webex App,15.1,Registered,Provisioned,2026-03-24
DEV00880,SITE018,USER00205,Cisco 8865,8865,15.1,Unregistered,Provisioned,2026-01-06
DEV00881,SITE029,USER01506,Cisco 8865,Room Kit,14.4,Unregistered,Provisioned,2026-04-23
DEV00882,SITE013,USER02345,Webex App,Room Kit,14.4,Registered,Provisioned,2026-01-05
DEV00883,SITE010,USER02017,Webex App,8851,14.2,Registered,Provisioned,2026-05-17
DEV00884,SITE008,USER01178,Cisco 8851,Room Kit,14.2,Registered,Provisioned,2025-11-30
DEV00885,SITE022,USER01827,Webex App,8865,14.2,Registered,Provisioned,2025-12-13
DEV00886,SITE015,USER01127,Cisco 8851,Webex App,15.1,Registered,Provisioned,2025-11-06
DEV00887,SITE033,USER01802,Cisco 8851,8865,15.0,Registered,Provisioned,2026-01-13
DEV00888,SITE010,USER00990,Webex App,8851,15.0,Registered,Provisioned,2026-08-30
DEV00889,SITE033,USER00244,Cisco 8841,8865,14.3,Registered,Provisioned,2026-02-16
DEV00890,SITE003,USER00447,Cisco 8865,8865,15.0,Registered,Pending,2026-06-10
DEV00891,SITE023,USER01972,Cisco 8865,8865,15.1,Unregistered,Pending,2026-03-20
DEV00892,SITE014,USER00893,Cisco 8841,8851,14.4,Registered,Failed,2026-01-29
DEV00893,SITE011,USER00089,Room Kit,8851,14.2,Registered,Provisioned,2026-05-28
DEV00894,SITE023,USER01201,Cisco 8851,Room Kit,14.2,Registered,Pending,2026-08-03
DEV00895,SITE023,USER01135,Cisco 8865,8841,14.3,Registered,Provisioned,2026-06-12
DEV00896,SITE020,USER02284,Room Kit,Webex App,14.2,Registered,Failed,2026-07-25
DEV00897,SITE004,USER00751,Webex App,Webex App,14.4,Registered,Provisioned,2025-12-19
DEV00898,SITE020,USER00385,Webex App,8841,14.3,Unregistered,Provisioned,2026-04-12
DEV00899,SITE013,USER02245,Webex App,Webex App,14.4,Registered,Provisioned,2026-07-12
DEV00900,SITE007,USER01329,Cisco 8851,8851,14.4,Registered,Provisioned,2026-05-31
DEV00901,SITE029,USER00863,Cisco 8841,8851,15.0,Registered,Provisioned,2026-05-01
DEV00902,SITE028,USER01683,Cisco 8841,Webex App,14.2,Unregistered,Provisioned,2026-01-26
DEV00903,SITE033,USER01280,Webex App,Room Kit,14.2,None,Pending,2026-08-07
DEV00904,SITE027,USER00562,Cisco 8841,Webex App,14.4,Registered,Provisioned,2026-07-17
DEV00905,SITE020,USER01307,Room Kit,Room Kit,14.2,Unregistered,Provisioned,2026-04-29
DEV00906,SITE001,USER00013,Cisco 8851,Webex App,15.0,Registered,Provisioned,2026-05-11
DEV00907,SITE012,USER00471,Cisco 8851,Room Kit,15.1,Registered,Provisioned,2025-12-13
DEV00908,SITE031,USER02268,Room Kit,Room Kit,15.0,Unregistered,Provisioned,2026-05-19
DEV00909,SITE024,USER00601,Cisco 8865,8865,14.3,Registered,Provisioned,2026-05-15
DEV00910,SITE034,USER00749,Webex App,Room Kit,14.3,Registered,Provisioned,2026-05-29
DEV00911,SITE029,USER02355,Webex App,Webex App,14.2,Registered,Provisioned,2026-06-18
DEV00912,SITE025,USER00260,Webex App,Webex App,14.4,Registered,Provisioned,2026-08-07
DEV00913,SITE002,USER02112,Cisco 8841,Room Kit,14.2,Unregistered,Pending,2026-08-08
DEV00914,SITE014,USER01373,Cisco 8841,8841,15.0,Unregistered,Provisioned,2025-12-31
DEV00915,SITE032,USER01919,Webex App,Webex App,15.0,Registered,Provisioned,2026-05-02
DEV00916,SITE008,USER01390,Webex App,Room Kit,14.4,Registered,Provisioned,2025-11-22
DEV00917,SITE016,USER00551,Webex App,Room Kit,15.0,Registered,Pending,2026-05-27
DEV00918,SITE019,USER01338,Cisco 8865,Webex App,15.0,Unregistered,Provisioned,2025-12-15
DEV00919,SITE028,USER00746,Cisco 8865,8865,14.2,Registered,Provisioned,2026-05-25
DEV00920,SITE023,USER01303,Cisco 8851,Room Kit,14.4,Unregistered,Provisioned,2026-07-12
DEV00921,SITE022,USER00606,Cisco 8865,8841,14.2,None,Provisioned,2026-08-08
DEV00922,SITE023,USER01243,Room Kit,Webex App,14.3,Registered,Pending,2026-08-13
DEV00923,SITE016,USER02040,Cisco 8841,Room Kit,15.0,Registered,Provisioned,2026-07-27
DEV00924,SITE015,USER00715,Room Kit,8865,14.3,Registered,Provisioned,2026-07-09
DEV00925,SITE030,USER02435,Room Kit,8851,14.4,Registered,Provisioned,2026-07-17
DEV00926,SITE020,USER00316,Cisco 8841,8841,15.0,Registered,Provisioned,2026-05-13
DEV00927,SITE010,USER01185,Room Kit,8865,14.4,Registered,Provisioned,2025-12-25
DEV00928,SITE015,USER00688,Webex App,Webex App,15.0,None,Provisioned,2026-05-06
DEV00929,SITE035,USER02126,Room Kit,Room Kit,15.0,Unregistered,Provisioned,2026-05-01
DEV00930,SITE002,USER01506,Webex App,8841,15.0,Registered,Provisioned,2026-01-22
DEV00931,SITE016,USER02272,Cisco 8865,Webex App,15.1,Registered,Pending,2026-08-13
DEV00932,SITE024,USER01204,Cisco 8865,8851,14.3,Unregistered,Pending,2026-08-21
DEV00933,SITE020,USER00949,Room Kit,8841,14.4,None,Pending,2026-08-14
DEV00934,SITE015,USER01096,Cisco 8851,Room Kit,14.2,Registered,Provisioned,2026-01-24
DEV00935,SITE017,USER01694,Cisco 8851,8851,15.0,Registered,Failed,2026-01-11
DEV00936,SITE016,USER00736,Cisco 8865,8865,15.0,Registered,Failed,2026-01-23
DEV00937,SITE009,USER01114,Webex App,8851,14.2,Unregistered,Provisioned,2026-04-07
DEV00938,SITE026,USER01917,Room Kit,Webex App,14.4,Registered,Provisioned,2026-02-09
DEV00939,SITE033,USER01418,Cisco 8841,Room Kit,15.0,Registered,Pending,2026-07-07
DEV00940,SITE005,USER02058,Cisco 8865,Room Kit,14.2,Registered,Provisioned,2025-12-05
DEV00941,SITE010,USER00231,Cisco 8851,Room Kit,14.2,Registered,Failed,2026-01-27
DEV00942,SITE032,USER02301,Cisco 8865,8851,15.1,Registered,Provisioned,2026-05-14
DEV00943,SITE012,USER02297,Cisco 8851,Room Kit,14.3,Registered,Provisioned,2026-01-19
DEV00944,SITE007,USER00448,Room Kit,8865,14.3,Registered,Provisioned,2026-08-07
